Context,Question,Answer_Text,Answer_Start_Index,Title
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",What can adventurers do at the Adventurer's Guild?,find jobs and change classes,598,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where is the Drunken Dragon?,Next to the adventuring guild,628,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",What is the Drunken Dragon?,tavern,683,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where do adventurer's go at the end of the day?,Drunken Dragon,665,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",How often does Twin's Peak hold Hati's Dance?,Every 30 days,802,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",What do adventurers do at the Drunken Dragon?,share stories of their grand adventures and secrets of treasure,737,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",What is the city hall supported by?,thousands of wooden beams,285,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where is the city hall suspended?,at the center between the two peaks,328,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Why do dancers and performers from Cragsigil perform rituals?,hope for another good lunar cycle,1161,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where are the dancers and performers of Hati's Dance from?,Cragsigil,1124,Custom
"Twin’s Peak is a large city located at the peak between two mountains, Hati and Skoll. Twin’s Peak is home to many humans and dwarves, two races that were once in conflict with each other but are now peaceful. At the center of the city is the city hall, a large structure supported by thousands of wooden beams and is suspended at the center between the two peaks. In the town hall, merchants come from River’s Wake in the east, Cragsigil in the north, and Fjorn to the south west. Adventurers go to the Adventurer’s Guild, located east of the city hall. At the Adventurer’s Guild, adventurers can find jobs and change classes. Next to the adventuring guild is the Drunken Dragon, a tavern, where adventurers go at the end of the day to share stories of their grand adventures and secrets of treasure. Every 30 days, Twin’s Peak holds a big party in celebration of the full moon as it passes through the center between the two peaks. This party is called Hati’s Dance, since Hati is the legendary wolf who chases the moon. Singers from River’s Wake come to sing beautiful melodies of Hati, while dancers and performers from Cragsigil come to perform rituals in hope for another good lunar cycle. There are only two entrances into Twin’s Peak, which are to the east and west of the city hall.",Where are the singers from during Hati's Dance?,River's Wake,1036,Custom
"The group forms the Phantom Thieves of Hearts to steal corruption from the hearts of adults to reform the city, and slowly learns of a broader conspiracy to influence the hearts of Tokyo. They are joined along the way by Sae's sister Makoto, the president of the school's student council who is assigned to spy on them but joins after being blackmailed by a criminal; Sojiro's adopted daughter Futaba Sakura, who became depressed after the conspiracy murdered her mother and blamed her using a forged suicide note; and Haru Okumura, who rebels against her billionaire father's attempts to control her life and mistreatment of his employees. Over time, the Phantom Thieves attract the attention of the public and the police, including Sae and Goro Akechi. The Phantom Thieves' popularity plummets after a masked assassin frames them for the death of Haru's father. While pursuing the conspiracy, Akechi joins the group and convinces them to change Sae's heart.",Who do the Phantom Thieves of Hearts attract the attention of?,the public and the police,697,Persona 5
"The group forms the Phantom Thieves of Hearts to steal corruption from the hearts of adults to reform the city, and slowly learns of a broader conspiracy to influence the hearts of Tokyo. They are joined along the way by Sae's sister Makoto, the president of the school's student council who is assigned to spy on them but joins after being blackmailed by a criminal; Sojiro's adopted daughter Futaba Sakura, who became depressed after the conspiracy murdered her mother and blamed her using a forged suicide note; and Haru Okumura, who rebels against her billionaire father's attempts to control her life and mistreatment of his employees. Over time, the Phantom Thieves attract the attention of the public and the police, including Sae and Goro Akechi. The Phantom Thieves' popularity plummets after a masked assassin frames them for the death of Haru's father. While pursuing the conspiracy, Akechi joins the group and convinces them to change Sae's heart.",What is Haru's last name?,Okumura,524,Persona 5
"The group forms the Phantom Thieves of Hearts to steal corruption from the hearts of adults to reform the city, and slowly learns of a broader conspiracy to influence the hearts of Tokyo. They are joined along the way by Sae's sister Makoto, the president of the school's student council who is assigned to spy on them but joins after being blackmailed by a criminal; Sojiro's adopted daughter Futaba Sakura, who became depressed after the conspiracy murdered her mother and blamed her using a forged suicide note; and Haru Okumura, who rebels against her billionaire father's attempts to control her life and mistreatment of his employees. Over time, the Phantom Thieves attract the attention of the public and the police, including Sae and Goro Akechi. The Phantom Thieves' popularity plummets after a masked assassin frames them for the death of Haru's father. While pursuing the conspiracy, Akechi joins the group and convinces them to change Sae's heart.",Why does Haru rebel against her father?,attempts to control her life and mistreatment of his employees,577,Persona 5
